"label","vowel_label.1tier","F1.1tier","F2.1tier","participant_id","context","position","dominance","awareness","vowel_label.2tier","F1.2tier","F2.2tier","vowel_label","detailed_context","stimuli_id","mel_F1.1tier","mel_F2.1tier","mel_F1.2tier","mel_F2.2tier"
"P1324-3","v",674.1169918,1653.606222,"P13","em","",34.24,141,"x",674.1169918,1653.606222,NA,"em",24,758.677485173186,1363.98662739461,758.677485173186,1363.98662739461
"P1325-1","v",718.5001447,1619.052202,"P13","em","",34.24,141,"x",718.5001447,1619.052202,NA,"em",25,794.43418204684,1347.35033544505,794.43418204684,1347.35033544505
"P1325-2","v",687.5264656,1649.801818,"P13","em","",34.24,141,"x",687.5264656,1649.801818,NA,"em",25,769.60098011964,1362.16697623658,769.60098011964,1362.16697623658
"P1325-3","v",694.0465723,1559.221738,"P13","em","",34.24,141,"x",694.0465723,1559.221738,NA,"em",25,774.874239105018,1317.94951891668,774.874239105018,1317.94951891668
"P1326-1","v",751.7883254,1664.669712,"P13","em","",34.24,141,"x",751.7883254,1664.669712,NA,"em",26,820.525622557658,1369.26164215193,820.525622557658,1369.26164215193
"P1326-2","v",673.2074502,1655.660538,"P13","em","",34.24,141,"x",673.2074502,1655.660538,NA,"em",26,757.932707405111,1364.96798672328,757.932707405111,1364.96798672328
"P1326-3","v",658.1247941,1731.61365,"P13","em","",34.24,141,"x",658.1247941,1731.61365,NA,"em",26,745.50984192442,1400.66301954146,745.50984192442,1400.66301954146
"P1327-1","v",719.2148425,1615.314291,"P13","em","",34.24,141,"x",719.2148425,1615.314291,NA,"em",27,795.000770541818,1345.53585310238,795.000770541818,1345.53585310238
"P1327-2","v",718.9863226,1571.805618,"P13","em","",34.24,141,"x",718.9863226,1571.805618,NA,"em",27,794.819638649904,1324.19740455542,794.819638649904,1324.19740455542
"P1327-3","v",661.6919318,1636.803678,"P13","em","",34.24,141,"x",661.6919318,1636.803678,NA,"em",27,748.460334691369,1355.92764564395,748.460334691369,1355.92764564395
"P1328-1","v",685.4645543,1688.465474,"P13","em","",34.24,141,"x",685.4645543,1688.465474,NA,"em",28,767.928212293718,1380.524202978,767.928212293718,1380.524202978
"P1328-2","v",647.4251115,1762.030449,"P13","em","",34.24,141,"x",647.4251115,1762.030449,NA,"em",28,736.613085906866,1414.64603348194,736.613085906866,1414.64603348194
"P1328-3","v",697.0942642,1697.715837,"P13","em","",34.24,141,"x",697.0942642,1697.715837,NA,"em",28,777.330664358876,1384.87214996975,777.330664358876,1384.87214996975
"P1329-1","v",673.7793791,1588.877384,"P13","em","",34.24,141,"x",673.7793791,1588.877384,NA,"em",29,758.401088699545,1332.61842383952,758.401088699545,1332.61842383952
"P1329-2","v",669.8897598,1628.348586,"P13","em","",34.24,141,"x",669.8897598,1628.348586,NA,"em",29,755.211830210886,1351.85039827623,755.211830210886,1351.85039827623
"P1329-3","v",669.0900665,1646.201597,"P13","em","",34.24,141,"x",669.0900665,1646.201597,NA,"em",29,754.555006673669,1360.44227087732,754.555006673669,1360.44227087732
"P1330-1","v",547.2794217,1223.080813,"P13","em","",34.24,141,"x",547.2794217,1223.080813,NA,"em",30,649.742207444408,1136.74969159303,649.742207444408,1136.74969159303
"P1330-2","v",744.5633102,1616.412403,"P13","em","",34.24,141,"x",744.5633102,1616.412403,NA,"em",30,814.913819128428,1346.06920984746,814.913819128428,1346.06920984746
